direction,num_packets,total_bytes,min_pkt_size,max_pkt_size,mean_pkt_size,std_pkt_size,min_iat,max_iat,mean_iat,std_iat,dur,dport,sport,app
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,41823.0,indiatimes
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,41829.0,expresscouk
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,41888.0,indiatimes
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,42168.0,indiatimes
uplink,5,330.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,42317.0,indiatimes
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,42550.0,indiatimes
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,42670.0,indiatimes
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,42684.0,expresscouk
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,43130.0,expresscouk
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,43146.0,indiatimes
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,43331.0,indiatimes
uplink,7,392.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,43357.0,expresscouk
uplink,2,136.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,,0.0,53.0,43365.0,indiatimes
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,43378.0,expresscouk
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,43429.0,indiatimes
uplink,8,480.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,43538.0,expresscouk
uplink,4,232.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,43673.0,indiatimes
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,43714.0,nypost
uplink,5,315.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,43806.0,indiatimes
uplink,4,232.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,43813.0,indiatimes
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,43962.0,indiatimes
uplink,3,174.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,44361.0,indiatimes
uplink,1,64.0,64.0,64.0,64.0,,,,,,0.0,53.0,44390.0,indiatimes
uplink,6,378.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,44448.0,expresscouk
uplink,10,600.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,44472.0,nypost
