Host Name,IP Address
mirrors.ptisp.pt,130.185.80.122
mirrors.up.pt,193.137.29.15
debian.mithril.re,165.169.21.12
depot-debian.univ-reunion.fr,195.220.150.52
mirror.linux.ro,81.196.9.142
mirrors.hostico.ro,188.241.222.52
mirrors.nav.ro,5.154.224.26
mirrors.nxthost.com,5.83.47.15
ro.mirror.flokinet.net,185.100.87.86
ftp.ru.debian.org,85.143.112.112
ftp.psn.ru,217.26.17.81
mirror.corbina.net,195.14.50.21
mirror.docker.ru,185.253.23.31
mirror.hyperdedic.ru,45.157.140.21
mirror.mephi.ru,85.143.112.112
mirrors.powernet.com.ru,31.128.159.4
mirror.coganng.com,116.15.69.197
mirror.sg.gs,203.175.175.208
ossmirror.mycloud.services,202.79.180.254
ftp.sk.debian.org,195.80.174.186
deb.bbxnet.sk,91.221.4.48
ftp.antik.sk,88.212.10.12
ftp.debian.sk,195.80.174.186
ftp.si.debian.org,213.129.232.18
debian.saix.net,196.43.2.109
ftp.is.co.za,196.4.160.12
ftp.es.debian.org,130.89.148.12
debian.grn.cat,80.64.47.13
debian.redimadrid.es,193.145.15.20
debian.redparra.com,37.134.214.51
debian.uvigo.es,193.146.32.81
ftp.caliu.cat,147.83.91.172
ftp.cica.es,150.214.5.134
ftp.udc.es,193.144.61.75
repo.ifca.es,193.146.75.19
softlibre.unizar.es,155.210.4.101
ulises.hostalia.com,82.194.78.250
ftp.se.debian.org,194.71.11.163
debian.lth.se,130.235.34.30
debian.mirror.su.se,193.11.30.180
ftp.acc.umu.se,194.71.11.173
ftpmirror1.infania.net,194.132.225.213
mirrors.glesys.net,109.74.12.226
mirror.zetup.net,109.205.222.4
ftp.ch.debian.org,129.132.53.171
debian.ethz.ch,129.132.53.171
mirror1.infomaniak.com,83.166.143.42
mirror2.infomaniak.com,83.166.143.43
mirror.init7.net,109.202.202.202
mirror.iway.ch,212.25.8.232
mirror.metanet.ch,80.74.152.24
mirror.sinavps.ch,185.73.240.250
pkg.adfinis.com,95.128.34.165
ftp.tw.debian.org,140.110.240.80
debian.csie.ntu.edu.tw,140.112.30.75
debian.cs.nycu.edu.tw,140.113.17.5
ftp.tku.edu.tw,163.13.240.201
opensource.nchc.org.tw,140.110.240.80
tw1.mirror.blendbyte.net,125.228.189.120
ftp.debianclub.org,124.109.2.168
mirror.applebred.net,103.246.16.176
mirror.kku.ac.th,202.28.95.174
ftp.tr.debian.org,193.140.98.183
debian.gnu.gen.tr,139.179.10.9
ftp.linux.org.tr,193.140.98.183
debian.netforce.hosting,141.98.108.40
debian.volia.net,77.120.62.8
fastmirror.pp.ua,93.126.105.202
mirror.mirohost.net,89.184.64.137
mirror.ukrnames.com,91.231.87.7
ftp.uk.debian.org,78.129.164.123
debian.mirrors.uk2.net,83.170.94.3
debian.mirror.uk.sargasso.net,78.158.65.70
free.hands.com,78.129.164.123
ftp.ticklers.org,90.207.225.196
mirror.cov.ukservers.com,94.229.65.150
mirror.lchost.net,213.230.211.73
mirror.mythic-beasts.com,93.93.131.18
mirror.ox.ac.uk,163.1.160.163
mirror.positive-internet.com,80.87.134.17
mirrors.coreix.net,85.13.241.50
mirrorservice.org,212.219.56.184
mirror.vinehost.net,81.179.123.56
ukdebian.mirror.anlx.net,81.91.100.175
uk.mirrors.clouvider.net,5.180.211.190
ftp.us.debian.org,208.80.154.139
atl.mirrors.clouvider.net,92.119.16.152
debian-archive.trafficmanager.net,40.76.167.129
debian.cc.lehigh.edu,128.180.2.105
debian.csail.mit.edu,128.30.3.141
debian.cs.binghamton.edu,128.226.118.14
debian.mirror.constant.com,108.61.5.92
debian.osuosl.org,64.50.236.52
debian.uchicago.edu,128.135.10.29
la.mirrors.clouvider.net,77.247.126.176
mirror.0x626b.com,173.208.198.91
mirror.clarkson.edu,128.153.145.19
mirror.cogentco.com,204.157.3.70
mirror.dal.nexril.net,161.129.154.250
mirror.keystealth.org,184.105.240.111
mirror.rustytel.net,76.252.192.212
mirrors.accretive-networks.net,216.127.35.166
mirror.siena.edu,199.223.246.113
mirrors.lug.mtu.edu,141.219.188.21
mirrors.namecheap.com,162.255.118.133
mirrors.ocf.berkeley.edu,169.229.200.70
mirror.steadfast.net,208.100.4.53
mirrors.vcea.wsu.edu,69.166.55.80
mirrors.wikimedia.org,208.80.154.139
mirrors.xtom.com,142.147.88.7
mirror.us.leaseweb.net,207.244.94.80
mirror.us.oneandone.net,74.208.240.17
nyc.mirrors.clouvider.net,94.154.159.241
plug-mirror.rcac.purdue.edu,128.211.151.252
repo.ialab.dsu.edu,138.247.115.248
debian.repo.cure.edu.uy,164.73.233.2
mirror.bizflycloud.vn,103.107.181.186
mirrors.bkns.vn,103.121.88.254
