address_a,address_b,port_a,port_b,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
192.0.66.32,192.168.1.54,443,51935,325,1,2024-03-25 05:38:08.914589,0,nypost,6,311,2024-03-25 05:38:08.914589
192.0.66.32,192.168.1.54,443,51935,116,1,2024-03-25 05:38:08.914592,0,nypost,6,102,2024-03-25 05:38:08.914592
192.0.66.32,192.168.1.54,443,51935,60,1,2024-03-25 05:38:08.914596,0,nypost,6,40,2024-03-25 05:38:08.914596
192.0.66.32,192.168.1.54,443,51935,85,1,2024-03-25 05:38:08.914612,0,nypost,6,71,2024-03-25 05:38:08.914612
192.0.66.32,192.168.1.54,443,51935,540,1,2024-03-25 05:38:08.914616,0,nypost,6,526,2024-03-25 05:38:08.914616
192.168.1.54,192.0.66.32,51935,443,54,1,2024-03-25 05:38:08.914768,0,nypost,6,40,2024-03-25 05:38:08.914768
192.168.1.54,192.0.66.32,51935,443,54,1,2024-03-25 05:38:08.914903,0,nypost,6,40,2024-03-25 05:38:08.914903
192.168.1.54,192.0.66.32,51935,443,85,1,2024-03-25 05:38:08.915220,0,nypost,6,71,2024-03-25 05:38:08.915220
192.168.1.54,192.0.66.32,51935,443,78,1,2024-03-25 05:38:08.915683,0,nypost,6,64,2024-03-25 05:38:08.915683
192.168.1.54,192.0.66.32,51935,443,54,1,2024-03-25 05:38:08.917454,0,nypost,6,40,2024-03-25 05:38:08.917454
192.0.66.32,192.168.1.54,443,51935,60,1,2024-03-25 05:38:08.922552,0,nypost,6,40,2024-03-25 05:38:08.922552
192.0.66.32,192.168.1.54,443,51935,60,1,2024-03-25 05:38:08.922559,0,nypost,6,40,2024-03-25 05:38:08.922559
192.0.66.32,192.168.1.54,443,51935,60,1,2024-03-25 05:38:08.922561,0,nypost,6,40,2024-03-25 05:38:08.922561
192.168.1.54,192.0.66.32,51935,443,54,1,2024-03-25 05:38:08.922700,0,nypost,6,40,2024-03-25 05:38:08.922700
