ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
192.0.66.32,172.28.0.12,443,45562,,,54,1,2024-03-26 03:14:47.621503,0,nypost,6,40,2024-03-26 03:14:47.621503
172.28.0.12,169.254.169.254,,,35464,53,74,1,2024-03-26 03:14:48.617937,0,nypost,17,60,2024-03-26 03:14:48.617937
172.28.0.12,169.254.169.254,,,41299,53,74,1,2024-03-26 03:14:48.618109,0,nypost,17,60,2024-03-26 03:14:48.618109
169.254.169.254,172.28.0.12,,,53,35464,158,1,2024-03-26 03:14:48.618625,0,nypost,17,144,2024-03-26 03:14:48.618625
169.254.169.254,172.28.0.12,,,53,41299,90,1,2024-03-26 03:14:48.618626,0,nypost,17,76,2024-03-26 03:14:48.618626
172.28.0.12,192.0.66.32,45566,443,,,74,1,2024-03-26 03:14:48.619005,0,nypost,6,60,2024-03-26 03:14:48.619005
192.0.66.32,172.28.0.12,443,45566,,,66,1,2024-03-26 03:14:48.633326,0,nypost,6,52,2024-03-26 03:14:48.633326
172.28.0.12,192.0.66.32,45566,443,,,54,1,2024-03-26 03:14:48.633355,0,nypost,6,40,2024-03-26 03:14:48.633355
172.28.0.12,192.0.66.32,45566,443,,,571,1,2024-03-26 03:14:48.687818,0,nypost,6,557,2024-03-26 03:14:48.687818
192.0.66.32,172.28.0.12,443,45566,,,54,1,2024-03-26 03:14:48.702142,0,nypost,6,40,2024-03-26 03:14:48.702142
192.0.66.32,172.28.0.12,443,45566,,,2974,1,2024-03-26 03:14:48.703032,0,nypost,6,2960,2024-03-26 03:14:48.703032
172.28.0.12,192.0.66.32,45566,443,,,54,1,2024-03-26 03:14:48.703046,0,nypost,6,40,2024-03-26 03:14:48.703046
192.0.66.32,172.28.0.12,443,45566,,,1230,1,2024-03-26 03:14:48.703153,0,nypost,6,1216,2024-03-26 03:14:48.703153
172.28.0.12,192.0.66.32,45566,443,,,54,1,2024-03-26 03:14:48.703162,0,nypost,6,40,2024-03-26 03:14:48.703162
192.0.66.32,172.28.0.12,443,45566,,,103,1,2024-03-26 03:14:48.703155,0,nypost,6,89,2024-03-26 03:14:48.703155
172.28.0.12,192.0.66.32,45566,443,,,54,1,2024-03-26 03:14:48.703167,0,nypost,6,40,2024-03-26 03:14:48.703167
172.28.0.12,192.0.66.32,45566,443,,,134,1,2024-03-26 03:14:48.705392,0,nypost,6,120,2024-03-26 03:14:48.705392
172.28.0.12,192.0.66.32,45566,443,,,100,1,2024-03-26 03:14:48.705534,0,nypost,6,86,2024-03-26 03:14:48.705534
172.28.0.12,192.0.66.32,45566,443,,,103,1,2024-03-26 03:14:48.705554,0,nypost,6,89,2024-03-26 03:14:48.705554
172.28.0.12,192.0.66.32,45566,443,,,89,1,2024-03-26 03:14:48.705565,0,nypost,6,75,2024-03-26 03:14:48.705565
172.28.0.12,192.0.66.32,45566,443,,,116,1,2024-03-26 03:14:48.705598,0,nypost,6,102,2024-03-26 03:14:48.705598
192.0.66.32,172.28.0.12,443,45566,,,341,1,2024-03-26 03:14:48.719742,0,nypost,6,327,2024-03-26 03:14:48.719742
192.0.66.32,172.28.0.12,443,45566,,,341,1,2024-03-26 03:14:48.719808,0,nypost,6,327,2024-03-26 03:14:48.719808
192.0.66.32,172.28.0.12,443,45566,,,54,1,2024-03-26 03:14:48.719809,0,nypost,6,40,2024-03-26 03:14:48.719809
192.0.66.32,172.28.0.12,443,45566,,,125,1,2024-03-26 03:14:48.719893,0,nypost,6,111,2024-03-26 03:14:48.719893
172.28.0.12,192.0.66.32,45566,443,,,54,1,2024-03-26 03:14:48.719937,0,nypost,6,40,2024-03-26 03:14:48.719937
172.28.0.12,192.0.66.32,45566,443,,,85,1,2024-03-26 03:14:48.719967,0,nypost,6,71,2024-03-26 03:14:48.719967
192.0.66.32,172.28.0.12,443,45566,,,541,1,2024-03-26 03:14:48.720096,0,nypost,6,527,2024-03-26 03:14:48.720096
172.28.0.12,192.0.66.32,45566,443,,,78,1,2024-03-26 03:14:48.720248,0,nypost,6,64,2024-03-26 03:14:48.720248
172.28.0.12,192.0.66.32,45566,443,,,54,1,2024-03-26 03:14:48.721053,0,nypost,6,40,2024-03-26 03:14:48.721053
192.0.66.32,172.28.0.12,443,45566,,,54,1,2024-03-26 03:14:48.734478,0,nypost,6,40,2024-03-26 03:14:48.734478
192.0.66.32,172.28.0.12,443,45566,,,54,1,2024-03-26 03:14:48.734572,0,nypost,6,40,2024-03-26 03:14:48.734572
172.28.0.12,192.0.66.32,45566,443,,,54,1,2024-03-26 03:14:48.734580,0,nypost,6,40,2024-03-26 03:14:48.734580
192.0.66.32,172.28.0.12,443,45566,,,54,1,2024-03-26 03:14:48.735268,0,nypost,6,40,2024-03-26 03:14:48.735268
172.28.0.12,169.254.169.254,,,36696,53,74,1,2024-03-26 03:14:49.731790,0,nypost,17,60,2024-03-26 03:14:49.731790
172.28.0.12,169.254.169.254,,,58696,53,74,1,2024-03-26 03:14:49.731790,0,nypost,17,60,2024-03-26 03:14:49.731790
169.254.169.254,172.28.0.12,,,53,58696,90,1,2024-03-26 03:14:49.732418,0,nypost,17,76,2024-03-26 03:14:49.732418
169.254.169.254,172.28.0.12,,,53,36696,158,1,2024-03-26 03:14:49.732479,0,nypost,17,144,2024-03-26 03:14:49.732479
172.28.0.12,192.0.66.32,45574,443,,,74,1,2024-03-26 03:14:49.732747,0,nypost,6,60,2024-03-26 03:14:49.732747
